GeneName	Astro_GFP_AD_63694	Astro_GFP_WT_63702	Astro_GFP_WT_63703	Astro_GFP_WT_63746	Astro_GFP_WT_63747	Astro_GFP_WT_63765	Astro_GFP_WT_63778	Astro_SOCS3_WT_63704	Astro_SOCS3_WT_63750	Astro_SOCS3_WT_63780	Astro_SOCS3_WT_63796	Astro_SOCS3_WT_63799
ENSMUSG00000007944	9	15	21	18	35	51	12	7	6	5	2	9
ENSMUSG00000040390	192	193	0	150	37	241	72	204	237	170	107	242
ENSMUSG00000108520	21	19	176	3	134	3	2	52	2	17	46	22
ENSMUSG00000057093	290	221	111	126	41	393	261	340	409	347	176	325
ENSMUSG00000037640	995	989	0	726	1297	1583	1081	899	1326	558	595	1736
ENSMUSG00000030604	222	49	0	35	29	37	33	72	117	46	76	60
ENSMUSG00000078779	1	376	0	234	817	0	327	228	130	227	277	548
ENSMUSG00000020420	30	111	0	113	24	20	151	86	219	192	59	455
ENSMUSG00000108314	112	89	0	84	55	167	96	113	236	214	155	198
ENSMUSG00000070709	357	421	499	129	147	26	352	343	691	387	385	813
ENSMUSG00000097455	1	8	0	9	74	0	26	15	65	34	0	23
ENSMUSG00000063047	100	427	209	277	1168	327	274	341	410	476	242	363
ENSMUSG00000096916	152	97	0	18	0	100	36	1	181	80	11	136
ENSMUSG00000030603	6673	6145	7966	5646	7923	4801	4678	3861	6811	6016	6319	6154
ENSMUSG00000078776	224	63	11	44	0	0	36	17	19	65	23	68
ENSMUSG00000109015	1	57	0	75	0	0	48	61	209	160	179	135
ENSMUSG00000046865	547	373	67	273	321	448	244	314	348	447	405	437
ENSMUSG00000002409	228	318	8	272	101	457	354	246	324	408	364	382
ENSMUSG00000046058	987	721	1108	676	1309	1006	373	696	929	605	973	863
ENSMUSG00000070705	450	457	752	520	458	498	216	412	301	299	505	421
ENSMUSG00000003438	2656	3316	1719	2700	3109	2251	2227	2194	2602	3040	3109	3049
ENSMUSG00000003435	2321	2288	1454	1979	1606	344	2819	1110	2229	2199	1952	2071
ENSMUSG00000037563	455	500	315	308	740	738	194	392	713	301	503	351
ENSMUSG00000077711	0	11	0	8	0	0	5	25	16	12	20	4
ENSMUSG00000037552	340	376	219	231	646	34	593	259	422	429	417	392
ENSMUSG00000044786	1431	2436	961	2439	1129	3312	1665	461	1024	926	791	649
ENSMUSG00000003444	713	461	337	458	618	663	268	465	692	451	747	499
ENSMUSG00000003437	1498	2466	2698	2313	1689	1982	1784	1150	1818	2063	1876	2087
ENSMUSG00000109336	524	1385	674	1085	1137	552	1083	1233	1387	1114	1072	1532
ENSMUSG00000060791	54	28	47	51	31	128	1	0	3	8	0	14
ENSMUSG00000030600	109	191	19	148	126	55	156	257	177	380	133	172
ENSMUSG00000030602	970	1051	1830	763	1971	96	637	764	1125	1065	1018	1143
ENSMUSG00000037463	0	125	0	194	89	0	73	75	152	140	143	146
ENSMUSG00000030598	264	307	399	286	170	237	208	139	302	337	78	343
ENSMUSG00000045948	1813	1339	1139	1296	1581	3241	824	1019	1916	1237	1673	1269
ENSMUSG00000070699	819	563	29	677	799	506	675	677	769	743	732	768
ENSMUSG00000030595	1919	1412	1232	1171	1883	1108	774	861	1252	1106	1252	1079
ENSMUSG00000015149	8202	8479	8038	6961	12873	8023	6287	6360	8832	8176	8281	7989
ENSMUSG00000051735	101	265	0	377	253	470	123	215	169	240	348	213
ENSMUSG00000015165	2790	2605	1474	2186	3069	2826	3213	3027	4988	3082	3024	3383
ENSMUSG00000053898	11957	10888	11657	9323	14542	11982	7645	8581	11624	10789	11328	10602
ENSMUSG00000053964	1006	884	1801	675	1155	666	1336	306	1033	1132	901	903
ENSMUSG00000054808	3785	8317	4884	6541	7019	6619	7885	4718	6524	5833	4404	6695
ENSMUSG00000053565	2517	1613	1128	1541	1894	2131	927	1580	2140	1605	1972	1695
ENSMUSG00000037337	0	32	0	24	217	0	44	22	26	49	33	12
ENSMUSG00000030589	26	51	0	34	45	64	26	12	5	0	13	23
ENSMUSG00000030590	1267	491	713	697	443	963	780	385	511	691	789	527
ENSMUSG00000099098	31	9	0	2	0	8	11	15	3	18	44	28
ENSMUSG00000037239	157	126	277	149	178	495	197	211	337	335	394	194
ENSMUSG00000031493	77	11	0	14	12	0	24	28	23	57	31	24
ENSMUSG00000030591	5649	5286	5420	4857	6876	6115	3306	5452	6976	5484	6637	5477
ENSMUSG00000049676	133	30	4	0	95	0	14	48	101	41	71	44
ENSMUSG00000046410	62	151	65	29	0	0	1	17	0	13	0	0
ENSMUSG00000030588	4978	3609	4957	3083	4064	4046	2189	3161	3767	3441	3889	3476
ENSMUSG00000030587	0	35	163	33	76	83	3	10	30	5	8	7
ENSMUSG00000074227	714	538	1103	1475	377	0	288	20	325	406	301	359
ENSMUSG00000037166	40	39	19	32	0	102	2	0	0	0	7	5
ENSMUSG00000030584	280	202	183	146	124	370	182	318	369	406	320	324
ENSMUSG00000030583	256	391	169	291	827	109	531	370	503	395	225	413
ENSMUSG00000046958	105	103	285	14	29	140	56	41	19	29	61	81
ENSMUSG00000100111	0	21	0	19	0	1	3	0	14	13	9	68
ENSMUSG00000109205	0	2	0	9	0	73	30	20	3	17	22	22
ENSMUSG00000046185	342	554	0	375	474	371	427	395	444	305	417	399
ENSMUSG00000047473	496	901	106	562	1194	776	886	573	854	700	943	1084
ENSMUSG00000011427	316	639	0	333	0	0	509	268	774	358	204	606
ENSMUSG00000050855	166	292	0	213	585	0	273	176	381	477	234	457
ENSMUSG00000058402	459	1487	903	828	1474	7	592	729	646	674	556	1249
ENSMUSG00000062040	15	1015	575	577	614	325	730	741	844	509	368	914
ENSMUSG00000099689	247	146	335	137	306	205	301	94	261	236	282	203
ENSMUSG00000059975	250	363	331	570	451	11	319	522	699	470	222	663
ENSMUSG00000063623	444	151	231	342	431	364	253	212	330	446	441	323
ENSMUSG00000074221	0	326	709	215	318	248	123	146	297	60	165	322
ENSMUSG00000053985	215	407	1261	496	581	469	759	635	547	823	667	923
ENSMUSG00000058447	10	13	0	0	0	0	7	4	4	14	20	38
ENSMUSG00000078768	79	301	254	79	26	410	145	111	87	162	281	257
ENSMUSG00000049421	649	2745	49	1986	2324	1303	1803	1511	2085	1799	1815	2604
ENSMUSG00000074220	0	299	258	181	632	387	527	166	253	192	394	423
ENSMUSG00000037029	51	101	0	109	0	0	18	97	134	58	56	106
ENSMUSG00000066647	138	308	422	184	270	17	399	312	454	403	352	740
ENSMUSG00000074218	27	54	59	57	151	100	24	38	88	35	67	68
ENSMUSG00000001794	2716	1616	1279	1535	1889	4399	969	2266	3327	1992	2503	1787
ENSMUSG00000006095	3560	2882	3028	2576	3745	3992	1750	2267	3391	2587	3403	2664
ENSMUSG00000019738	864	616	674	456	1047	1070	286	548	915	558	887	650
ENSMUSG00000037020	136	149	509	200	0	1	227	1	197	175	100	305
ENSMUSG00000013928	64	49	7	17	6	8	65	34	24	102	28	36
ENSMUSG00000013921	2951	4987	2701	3954	3292	3395	3553	3801	4626	4121	3363	4684
ENSMUSG00000042831	2736	1911	1838	1842	1690	2944	1796	1508	2634	2269	2358	2559
