GeneName	Astro_GFP_AD_63694	Astro_GFP_WT_63702	Astro_GFP_WT_63703	Astro_GFP_WT_63746	Astro_GFP_WT_63747	Astro_GFP_WT_63765	Astro_GFP_WT_63778	Astro_SOCS3_WT_63704	Astro_SOCS3_WT_63750	Astro_SOCS3_WT_63780	Astro_SOCS3_WT_63796	Astro_SOCS3_WT_63799
ENSMUSG00000102331	0	0	0	0	0	0	0	10	25	16	0	0
ENSMUSG00000025902	314	512	675	516	1	1809	331	28	84	237	127	111
ENSMUSG00000103922	34	34	33	29	59	44	33	44	42	33	32	48
ENSMUSG00000033845	1653	1908	742	1578	2864	2272	1034	1963	2734	2092	2391	1914
ENSMUSG00000025903	674	2154	1477	1977	2059	561	1307	1430	1856	974	1767	1806
ENSMUSG00000033813	1507	2790	2032	2133	2498	968	1444	1778	2149	1843	2005	2534
ENSMUSG00000062588	5	14	15	13	12	5	3	3	15	8	7	8
ENSMUSG00000103280	74	67	60	42	0	0	121	45	88	123	56	37
ENSMUSG00000002459	3431	4115	3385	3148	5537	2084	2792	3689	5387	4351	5110	4633
ENSMUSG00000091305	2	13	0	21	0	0	23	12	43	19	15	28
ENSMUSG00000102653	1	117	189	161	24	311	165	198	233	398	270	204
ENSMUSG00000085623	179	2	90	74	116	140	25	34	115	51	50	23
ENSMUSG00000033793	4362	5033	3439	4802	7751	3169	3544	4479	6050	4906	5136	6109
ENSMUSG00000025907	600	1426	413	827	1558	368	1480	1044	916	1109	1078	2165
ENSMUSG00000090031	93	163	0	474	133	4	260	136	201	249	259	366
ENSMUSG00000051285	590	2719	659	1982	2550	1125	1836	1394	1754	1261	1230	2403
ENSMUSG00000103509	50	2	0	66	0	0	1	17	20	0	4	31
ENSMUSG00000025909	0	58	0	12	0	0	11	12	10	25	0	17
ENSMUSG00000103411	14	22	0	8	0	0	0	0	28	2	48	35
ENSMUSG00000061024	2375	2311	2889	1878	3404	1745	1725	1583	2745	2376	2420	2383
ENSMUSG00000025911	9560	15066	11745	14020	19652	7907	10813	11430	15703	13845	13445	16557
ENSMUSG00000079671	8	33	39	37	0	0	23	33	51	26	6	35
ENSMUSG00000067879	343	198	0	219	228	57	54	1	0	57	0	25
ENSMUSG00000045210	513	1172	843	880	1517	164	1387	833	920	774	726	1699
ENSMUSG00000097893	0	55	0	3	45	0	3	21	30	22	0	24
ENSMUSG00000025915	305	1214	568	818	449	658	901	616	673	771	1084	1054
ENSMUSG00000098234	252	108	127	158	195	283	121	142	262	166	255	219
ENSMUSG00000099032	212	97	0	45	0	50	37	0	69	76	22	161
ENSMUSG00000025916	135	122	0	176	122	87	22	47	92	166	252	202
ENSMUSG00000025917	2941	2903	2226	2528	3474	3520	1804	3049	4518	2976	3023	3831
ENSMUSG00000056763	1356	961	1132	1147	2037	1310	1306	1047	1516	945	1443	1838
ENSMUSG00000067851	582	1081	0	1302	1327	1066	818	589	995	854	836	1291
ENSMUSG00000048960	7615	9443	4749	9565	12475	5586	8247	6882	12522	6895	8028	10485
ENSMUSG00000016918	41	311	1826	1055	392	0	142	54	233	201	155	119
ENSMUSG00000005886	520	971	140	1008	1058	1307	1455	772	1131	978	1073	1334
ENSMUSG00000102664	0	16	0	17	0	0	9	26	45	56	20	53
ENSMUSG00000025935	2998	5766	5020	4195	4801	1442	3582	3859	4293	3776	4654	5390
ENSMUSG00000025937	413	1011	1133	936	1764	667	839	879	1678	871	1078	1541
ENSMUSG00000102982	16	8	0	4	0	0	8	0	20	10	24	55
ENSMUSG00000025932	2156	2964	475	2931	5345	317	2823	3192	3798	2472	3035	4192
ENSMUSG00000025930	84	55	0	54	0	0	23	16	60	41	12	0
ENSMUSG00000025925	911	505	844	391	1111	800	437	574	412	744	442	905
ENSMUSG00000032719	67	53	0	58	55	0	45	13	35	0	0	14
ENSMUSG00000067795	0	25	0	31	0	2	20	0	3	16	31	26
ENSMUSG00000043716	2855	1974	2494	2339	3352	2837	1186	2623	3784	2134	2494	2428
ENSMUSG00000025921	2110	3031	2354	2364	2467	1229	1910	1568	1950	2021	1895	2906
ENSMUSG00000025920	46	844	386	754	283	482	439	672	1034	483	524	758
ENSMUSG00000025939	1150	2154	823	1952	2299	828	1091	1178	1798	978	1248	1662
ENSMUSG00000079658	2275	3994	3796	3188	4395	2924	1535	2213	3294	1956	3307	2903
ENSMUSG00000025940	2704	3791	2189	3306	4836	1904	1670	2840	3864	2421	3186	3339
ENSMUSG00000025779	276	205	81	189	19	131	169	139	332	105	174	211
ENSMUSG00000025777	128	167	0	214	29	0	102	131	161	59	119	180
ENSMUSG00000041859	442	912	204	607	279	480	597	302	463	419	782	541
ENSMUSG00000099714	0	0	0	0	0	0	0	0	17	29	23	14
ENSMUSG00000097934	192	274	0	185	326	65	231	98	379	416	323	266
ENSMUSG00000025931	10353	21344	6959	14778	24010	6792	17968	15025	21069	14418	14285	20651
ENSMUSG00000100929	19	0	0	4	0	3	13	14	29	5	0	19
ENSMUSG00000041809	618	192	273	214	399	32	262	52	186	259	170	362
ENSMUSG00000041779	59	215	259	147	164	200	102	92	123	116	142	240
ENSMUSG00000100819	23	44	39	47	6	80	35	49	54	30	57	47
ENSMUSG00000025933	1687	1724	1334	1705	2991	2270	920	1273	1759	1206	1607	1516
ENSMUSG00000025934	146	50	288	67	166	0	95	98	75	86	87	210
ENSMUSG00000099343	6	20	16	0	53	42	9	25	4	13	0	5
ENSMUSG00000082935	19	8	3	15	15	18	6	12	16	9	13	14
ENSMUSG00000026158	1161	1380	1823	1190	1843	888	890	1175	1537	1060	1419	1230
ENSMUSG00000026156	385	221	4	75	41	34	286	112	222	219	187	220
ENSMUSG00000026155	1078	1311	852	1156	1982	1059	990	1017	1497	1063	1483	1250
ENSMUSG00000026154	1085	910	1116	815	1490	961	382	684	1301	685	1049	717
ENSMUSG00000026153	853	1907	723	1304	1588	669	1345	1151	1752	1611	1659	2205
ENSMUSG00000026147	130	30	0	30	0	0	0	75	12	167	187	106
ENSMUSG00000100131	50	26	74	21	108	50	12	28	40	27	27	21
ENSMUSG00000101111	177	130	170	115	469	210	87	202	342	127	137	172
ENSMUSG00000100862	167	110	219	99	360	249	63	117	186	94	97	113
ENSMUSG00000102070	68	53	77	44	127	114	30	64	117	53	56	51
ENSMUSG00000101249	217	108	222	122	411	350	39	127	183	107	129	88
ENSMUSG00000073725	6663	13118	4335	9661	13313	8729	8913	9065	10463	8162	9502	12309
ENSMUSG00000033569	729	2086	1869	1489	2108	1675	2344	1650	1924	1903	1414	2143
ENSMUSG00000104257	0	0	0	24	12	366	38	16	124	45	49	19
ENSMUSG00000104027	48	0	17	30	24	0	7	39	75	20	54	10
ENSMUSG00000102250	74	66	3	60	1	0	22	35	173	74	38	39
ENSMUSG00000102317	0	0	0	8	111	0	0	1	70	1	23	25
ENSMUSG00000103563	146	10	0	32	17	55	108	12	268	60	159	23
ENSMUSG00000102465	7	55	0	69	51	48	76	81	157	99	156	20
ENSMUSG00000103924	20	32	95	88	26	0	11	15	24	28	10	39
ENSMUSG00000102747	1	8	0	27	0	0	3	20	28	11	16	15
ENSMUSG00000102386	168	25	0	69	38	1	64	90	99	47	74	44
ENSMUSG00000104516	89	61	0	40	0	110	61	54	27	72	48	53
ENSMUSG00000086240	10	23	27	5	28	10	5	16	36	12	17	20
ENSMUSG00000048874	654	840	612	1112	1591	749	887	766	1119	512	833	1422
ENSMUSG00000026064	70	30	0	34	59	0	114	33	18	34	12	77
ENSMUSG00000026058	0	79	157	54	0	11	75	31	18	25	0	5
ENSMUSG00000026134	267	394	13	263	269	513	125	348	459	494	281	324
ENSMUSG00000004768	339	609	342	857	645	1536	717	687	933	557	642	1026
ENSMUSG00000042215	662	440	0	779	831	12	359	353	664	437	278	765
ENSMUSG00000042197	980	782	98	720	1664	74	985	965	1265	904	327	1625
ENSMUSG00000042182	121	81	0	227	0	0	135	54	48	116	22	59
ENSMUSG00000026131	5912	3931	3975	4234	3238	3797	4591	4374	5739	4895	5270	5351
ENSMUSG00000103364	137	73	87	55	13	87	67	54	99	51	84	49
ENSMUSG00000042111	1076	981	2015	879	1243	725	480	619	787	984	941	808
ENSMUSG00000026127	2619	2031	2042	2498	2266	1174	1701	1328	2265	2084	2131	2693
ENSMUSG00000026126	108	24	0	24	0	105	5	0	4	16	4	7
ENSMUSG00000037509	1055	3178	1228	2996	3582	2512	4827	2108	2638	3109	2167	4694
ENSMUSG00000104002	56	75	0	74	30	243	65	34	50	23	59	25
ENSMUSG00000037503	3250	5320	3227	4905	4100	2641	5401	3968	4864	4364	4482	5595
ENSMUSG00000104358	1	0	0	7	54	0	0	5	72	32	5	52
ENSMUSG00000026123	2477	10967	2056	8145	6203	3608	4548	4300	4668	4403	3131	6880
ENSMUSG00000045216	500	1873	800	725	1087	389	1149	639	1467	874	487	1030
ENSMUSG00000037470	1725	1104	1856	1013	1830	703	2043	1009	1295	1522	1253	1564
ENSMUSG00000047180	331	427	0	158	0	54	107	15	0	62	0	40
ENSMUSG00000037447	3205	5527	2677	3114	5055	4289	3312	2546	3558	3817	3493	4318
ENSMUSG00000010453	2822	2904	947	2118	3647	3240	3846	1688	3433	3480	2783	3131
ENSMUSG00000037432	118	47	115	82	0	39	164	92	30	126	99	80
ENSMUSG00000001143	2119	2260	1634	2455	2286	1879	1859	1772	2428	2416	2140	2312
ENSMUSG00000037408	150	271	194	133	114	91	197	194	242	205	193	218
ENSMUSG00000001138	1832	4415	2776	2642	2501	581	2772	2750	3056	3869	3486	4573
ENSMUSG00000067653	127	74	118	60	29	44	140	64	126	121	106	71
ENSMUSG00000079610	1119	797	985	710	870	327	882	538	758	871	703	901
ENSMUSG00000026121	110	94	31	72	133	190	166	175	134	218	129	162
ENSMUSG00000061518	4389	4315	3725	3235	8379	6339	1863	2843	5691	3155	4328	3275
ENSMUSG00000037351	3393	4658	2186	3492	5081	3304	3116	2948	3704	4124	3138	4093
ENSMUSG00000026117	120	34	58	30	0	4	14	0	33	1	3	20
ENSMUSG00000026116	569	1232	251	902	2047	721	1627	765	986	1207	763	1291
ENSMUSG00000102930	0	62	0	7	203	0	0	23	23	38	12	67
ENSMUSG00000050122	72	37	0	196	119	0	154	0	28	33	15	19
ENSMUSG00000026113	512	314	155	234	353	452	315	248	421	286	292	356
ENSMUSG00000026112	1138	2698	1820	2411	2742	494	1798	1476	1667	1459	1321	2433
ENSMUSG00000026111	6782	7017	5360	5609	8781	7693	4054	4213	6634	5474	5728	6423
ENSMUSG00000026110	184	290	220	173	0	93	235	48	26	27	55	90
ENSMUSG00000026090	180	252	0	669	0	413	201	43	31	63	28	173
ENSMUSG00000060771	681	542	285	670	1058	143	575	416	666	568	511	828
ENSMUSG00000037216	269	185	134	126	240	420	261	180	333	199	153	265
ENSMUSG00000026088	402	661	484	550	657	779	718	515	652	928	804	771
ENSMUSG00000026087	1842	1530	1509	1357	2040	2364	918	1321	2318	1360	1872	1396
ENSMUSG00000061584	71	37	0	63	178	0	64	0	0	63	37	185
ENSMUSG00000058407	4047	3982	3908	3513	5968	4548	2953	2727	4527	3363	4080	4350
ENSMUSG00000026083	2205	1408	1589	1598	2021	2173	1394	976	1852	1719	1518	1649
ENSMUSG00000026082	345	1002	497	739	2202	146	1002	531	814	1089	444	1164
ENSMUSG00000037138	59	8	0	114	0	152	167	15	19	73	33	162
ENSMUSG00000048814	366	362	0	490	410	418	353	346	339	650	350	673
ENSMUSG00000026080	10151	15744	9869	10244	12757	8263	12692	9226	10910	13299	10279	16147
ENSMUSG00000026078	1951	1854	2078	1409	1565	2286	944	1159	1496	1144	1349	1434
ENSMUSG00000103046	36	149	0	58	101	0	74	34	187	54	91	84
ENSMUSG00000026077	443	1728	1875	1147	1899	801	1247	584	975	886	909	1237
ENSMUSG00000092563	32	66	0	43	105	129	27	7	89	75	57	36
ENSMUSG00000073702	1079	774	913	712	1488	1554	411	575	1241	560	881	662
ENSMUSG00000003134	1	229	0	229	0	3	282	103	238	282	411	74
ENSMUSG00000003135	1156	631	952	769	1026	1208	387	901	1343	709	1120	1099
ENSMUSG00000085894	17	7	34	34	17	4	9	27	32	32	49	20
ENSMUSG00000077704	15	28	25	7	16	19	23	10	40	34	41	12
ENSMUSG00000048234	1023	1012	637	845	1499	794	790	850	1095	823	838	1270
ENSMUSG00000050967	91	18	0	13	0	0	38	3	42	43	0	16
ENSMUSG00000057173	0	93	0	42	183	0	56	19	37	70	39	98
ENSMUSG00000026074	868	643	445	619	1067	1361	1156	669	1202	899	965	1011
ENSMUSG00000026072	35	218	0	227	0	0	325	106	147	192	108	130
ENSMUSG00000026062	7	0	53	37	0	18	59	0	0	0	0	27
ENSMUSG00000041945	63	357	0	277	363	0	307	140	310	235	194	363
ENSMUSG00000053640	0	15	0	0	155	1	0	6	57	34	19	10
ENSMUSG00000101299	9	9	0	21	9	8	28	39	14	42	48	26
ENSMUSG00000060424	9156	7410	6701	6995	13636	11387	3608	6820	12711	7142	11120	7523
ENSMUSG00000093436	59	167	93	213	618	142	174	111	215	146	203	316
ENSMUSG00000045515	3406	3429	2842	3025	2602	3701	2005	4277	5112	3476	4160	4123
ENSMUSG00000097063	3120	2230	1740	2755	3640	2310	3586	1435	3100	4319	3559	2499
ENSMUSG00000060679	940	997	293	873	1219	538	878	860	1131	1038	1156	1139
ENSMUSG00000041907	122	94	0	114	76	51	73	94	200	94	200	62
ENSMUSG00000070939	1058	1604	0	1251	864	216	1428	538	1129	1299	1087	1288
ENSMUSG00000041878	21	64	0	119	206	0	138	54	105	161	192	87
ENSMUSG00000010290	554	1343	690	708	2002	47	794	914	990	1232	617	1204
ENSMUSG00000066877	463	801	236	1063	510	814	550	655	631	566	587	665
ENSMUSG00000103945	0	20	9	15	6	0	17	18	38	22	47	62
ENSMUSG00000026051	289	461	1866	1310	197	288	230	80	488	485	289	390
ENSMUSG00000057363	595	646	454	559	1171	133	461	556	504	552	401	566
ENSMUSG00000090243	2	22	12	4	26	62	3	10	34	3	26	10
ENSMUSG00000041763	492	1344	391	1067	1066	444	1080	1137	1240	1401	810	1648
ENSMUSG00000026049	109	110	130	115	0	261	109	118	208	113	124	157
ENSMUSG00000026047	2158	2527	2866	2142	3296	773	2115	1537	2201	2584	2475	2610
ENSMUSG00000041684	21	598	1045	335	874	414	510	634	506	564	648	842
ENSMUSG00000026048	723	1253	1114	1623	1004	992	1772	1104	1065	1432	1131	1745
ENSMUSG00000056870	327	1387	1334	1098	542	612	631	997	1143	702	902	1289
ENSMUSG00000026043	98	65	0	82	0	144	57	0	0	0	1	0
ENSMUSG00000026042	68	124	201	114	74	0	501	147	577	224	262	312
ENSMUSG00000025995	600	1265	1773	835	1153	465	900	694	994	660	586	1186
ENSMUSG00000084817	28	24	26	19	16	61	12	15	19	21	19	16
ENSMUSG00000025993	1095	3362	1092	1900	1952	2415	1864	507	857	726	529	1018
ENSMUSG00000041144	680	307	66	543	417	144	276	345	1244	548	286	723
ENSMUSG00000101262	4	12	12	11	21	10	4	4	9	4	6	5
ENSMUSG00000101337	5	54	64	53	37	0	91	11	193	77	55	25
ENSMUSG00000025986	712	2294	2628	1656	2150	735	2275	1258	1220	982	863	2282
ENSMUSG00000100213	208	68	0	184	152	274	119	11	146	138	146	156
ENSMUSG00000100033	9	13	29	12	33	15	9	3	10	9	14	14
ENSMUSG00000026109	23	74	0	151	164	20	34	32	61	47	34	8
ENSMUSG00000045954	92	1055	76	808	0	799	401	26	126	128	89	161
ENSMUSG00000026107	334	177	0	178	65	2	243	93	41	197	237	187
ENSMUSG00000018417	282	265	856	209	0	1	227	0	97	54	5	29
ENSMUSG00000109599	7	62	0	79	84	71	49	22	65	79	55	85
ENSMUSG00000026104	200	658	520	572	258	1066	427	320	202	410	286	374
ENSMUSG00000026103	432	1070	62	895	1416	540	881	543	980	794	670	986
ENSMUSG00000002881	826	1375	1880	1231	1935	272	1087	894	1027	849	1081	985
ENSMUSG00000043015	30	68	1	139	6	24	220	156	189	182	73	257
ENSMUSG00000041439	104	225	102	240	0	407	115	14	44	35	11	230
ENSMUSG00000026102	1359	1287	619	573	940	1336	1377	1319	1799	1545	1539	1787
ENSMUSG00000041426	1632	2263	1366	2117	2350	988	1149	1614	2131	2199	1843	2192
ENSMUSG00000043629	1146	976	1010	1029	1683	1248	745	872	1294	1109	1081	1052
ENSMUSG00000026098	250	447	611	363	316	0	462	306	401	215	355	592
ENSMUSG00000026097	1133	1515	583	1088	748	530	893	937	1142	793	702	1453
ENSMUSG00000026096	900	1322	1213	1066	1218	709	1147	1146	1641	1357	1225	2115
ENSMUSG00000099913	90	6	0	0	19	26	4	13	57	29	50	24
ENSMUSG00000026095	286	194	76	168	208	283	126	204	343	226	243	218
ENSMUSG00000096141	128	88	158	82	237	109	33	17	68	30	98	65
ENSMUSG00000026094	610	1859	1007	1166	1180	56	1022	1103	1085	988	1287	1828
ENSMUSG00000041303	169	1383	482	803	792	525	861	757	945	590	548	1299
ENSMUSG00000073678	247	380	161	394	539	106	378	146	528	243	123	493
ENSMUSG00000104136	10	9	0	5	0	0	37	14	10	3	0	13
ENSMUSG00000052331	43	191	91	448	0	218	5	39	1	50	74	260
ENSMUSG00000025982	8543	9398	7333	8412	13261	5559	12161	6995	9990	9109	8653	12377
ENSMUSG00000025981	715	927	648	1077	1384	864	731	958	1499	773	981	1275
ENSMUSG00000101122	0	10	0	17	102	0	29	53	54	17	77	50
ENSMUSG00000025980	2828	5230	3736	3946	5375	1749	3603	3362	5071	4074	3921	5462
ENSMUSG00000073676	1898	1846	1245	1856	3256	2250	898	1590	3164	1696	2132	1859
ENSMUSG00000025979	3092	4004	1730	3264	5137	2206	2090	3122	3636	2171	2680	3906
ENSMUSG00000025978	3942	8622	4893	6455	10785	4414	6090	5458	7666	7683	5660	8985
ENSMUSG00000097649	763	616	291	576	696	829	733	551	1018	945	899	870
ENSMUSG00000046994	485	1410	357	809	1295	799	1268	862	1035	827	846	1360
ENSMUSG00000100215	18	8	4	8	18	17	2	17	22	4	16	18
ENSMUSG00000038349	1055	1375	380	975	704	431	759	901	1067	676	749	760
ENSMUSG00000101429	65	48	14	195	14	1	137	146	247	318	226	258
ENSMUSG00000038323	235	2361	670	1793	2322	27	1677	1336	2330	1683	1911	3014
ENSMUSG00000048495	2072	1932	1591	1359	2403	1154	1511	1216	1504	1411	1718	1777
ENSMUSG00000025971	1011	715	555	665	1064	973	549	814	1077	992	1072	972
ENSMUSG00000038305	322	711	453	394	974	110	612	175	378	342	177	600
ENSMUSG00000054770	759	787	1604	648	663	70	790	715	1118	807	732	1117
ENSMUSG00000063558	2592	2830	626	2338	4856	1769	3864	1647	2420	4307	3098	4006
ENSMUSG00000103839	29	0	19	43	0	42	24	30	79	42	50	51
ENSMUSG00000051223	2839	8702	4487	7428	10722	2734	5167	5290	6436	5229	4484	8260
ENSMUSG00000026034	9399	11407	6113	6286	16457	3379	9467	7149	9159	11991	10636	11572
ENSMUSG00000026035	864	933	1056	823	596	926	432	893	900	532	776	938
ENSMUSG00000026036	1071	1256	682	1439	1620	963	845	1008	1335	1030	980	1590
ENSMUSG00000026037	438	1125	45	705	1662	46	736	703	999	812	842	1430
ENSMUSG00000085054	14	1	0	24	238	1	67	23	53	22	87	72
ENSMUSG00000038174	399	873	1165	537	2308	1388	606	703	1058	868	529	1081
ENSMUSG00000026032	2432	2280	1448	1909	3610	2983	832	1703	2997	1568	2353	1948
ENSMUSG00000047528	22	56	0	6	0	0	16	0	42	21	2	63
ENSMUSG00000102059	152	161	230	330	299	139	194	166	319	233	229	251
ENSMUSG00000026031	747	667	422	748	877	1023	742	566	1093	621	745	769
ENSMUSG00000026029	0	383	459	251	0	616	320	47	38	62	44	76
ENSMUSG00000026028	195	497	394	356	1304	355	712	495	533	555	255	449
ENSMUSG00000026027	675	1643	1253	1147	1262	1429	914	768	1307	1464	1087	1664
ENSMUSG00000038079	2253	2524	3042	2451	2609	2204	1380	1565	2471	1926	2075	2209
ENSMUSG00000097573	30	47	0	53	156	94	23	41	118	103	67	65
ENSMUSG00000079550	0	32	0	0	0	0	0	17	124	20	39	33
ENSMUSG00000101586	0	0	0	18	0	0	0	12	0	25	25	26
ENSMUSG00000026024	358	587	0	466	426	645	783	345	454	653	235	838
ENSMUSG00000041075	136	565	557	380	236	261	362	528	692	539	387	760
ENSMUSG00000047361	3516	4144	4012	4517	4021	1739	4432	2096	2848	3245	3382	4652
ENSMUSG00000026021	3590	3442	3391	3851	4349	4766	2007	2463	3790	2162	3052	2927
ENSMUSG00000026020	603	366	576	267	2280	155	237	407	460	465	500	536
ENSMUSG00000067336	529	606	163	745	1240	1380	400	971	1138	262	410	384
ENSMUSG00000041040	462	867	87	355	0	359	559	256	564	392	219	659
ENSMUSG00000103696	0	29	0	8	0	5	5	10	14	11	2	0
ENSMUSG00000026018	0	86	0	88	112	0	48	72	0	37	108	26
ENSMUSG00000026019	404	1193	511	882	2338	1009	696	993	1252	720	904	1040
ENSMUSG00000026017	142	186	71	300	376	2	213	204	377	249	229	341
ENSMUSG00000073664	628	539	225	820	1217	479	957	733	1541	457	611	923
ENSMUSG00000049439	1918	3204	2205	2032	3047	687	2039	2439	2608	2158	2458	3193
ENSMUSG00000103822	0	15	0	26	68	1	12	15	8	28	57	5
ENSMUSG00000026782	1248	3114	1965	2328	3032	461	2227	1987	2309	1678	1591	3503
ENSMUSG00000026014	84	83	0	106	0	0	57	30	132	55	55	87
ENSMUSG00000082160	3	23	18	18	24	4	20	15	11	9	13	19
ENSMUSG00000101188	67	108	159	81	88	48	62	69	96	74	62	69
ENSMUSG00000026012	0	19	0	3	0	0	0	13	0	7	21	26
ENSMUSG00000052062	347	365	257	570	1360	181	796	324	543	879	761	813
ENSMUSG00000025969	212	268	149	115	0	159	349	189	212	387	245	474
ENSMUSG00000100811	35	20	0	32	96	82	17	19	65	52	75	75
ENSMUSG00000040865	454	313	190	340	393	51	153	412	425	328	473	380
ENSMUSG00000084799	299	550	135	540	343	315	584	335	614	489	510	610
ENSMUSG00000101599	622	546	925	572	308	127	450	355	979	524	648	564
ENSMUSG00000025968	5691	9699	8393	7860	8266	5386	6147	6834	8551	7651	6200	8645
ENSMUSG00000025967	1854	1577	700	1539	2675	2227	1029	1470	1923	1360	1447	1656
ENSMUSG00000025964	1364	1224	1158	1237	1765	2007	1452	2025	2635	1867	2335	2334
ENSMUSG00000025963	176	159	0	159	244	0	111	31	27	22	44	245
ENSMUSG00000025962	144	842	529	700	551	1053	893	760	863	927	987	1597
ENSMUSG00000025961	0	0	0	20	0	0	3	32	26	0	0	19
ENSMUSG00000025959	2737	2070	1299	1817	2208	1376	2156	2027	2794	2629	2755	2751
ENSMUSG00000025958	443	665	72	484	1320	439	377	336	424	202	667	633
ENSMUSG00000025956	1386	2186	1508	1561	1617	2174	1473	1779	2443	2052	2061	2127
ENSMUSG00000101832	22	13	101	8	28	20	14	10	15	19	22	8
ENSMUSG00000070871	1	574	355	169	8	280	313	310	331	401	183	471
ENSMUSG00000045005	27	41	0	41	3	0	18	19	21	10	25	10
ENSMUSG00000051344	330	400	0	455	365	159	378	467	312	408	286	532
ENSMUSG00000084416	25	10	21	20	26	31	6	26	28	10	16	17
ENSMUSG00000025950	2580	8044	3689	5465	8583	3028	4325	5667	8124	4645	5240	7056
ENSMUSG00000025949	267	868	489	560	902	506	797	578	902	720	532	721
ENSMUSG00000015222	3339	5064	1842	3780	4341	2755	5398	3605	5638	3329	3962	5179
ENSMUSG00000073656	716	394	60	292	121	685	296	334	532	201	503	410
ENSMUSG00000055567	154	101	0	158	0	42	45	57	149	60	85	116
ENSMUSG00000026005	1134	1250	293	1343	1622	672	1024	887	1376	652	1005	1205
ENSMUSG00000026004	424	1147	481	863	931	411	955	784	1346	1147	982	1648
ENSMUSG00000102559	54	10	0	15	0	25	42	9	15	7	22	26
ENSMUSG00000102374	0	4	0	2	0	10	12	42	18	46	14	61
ENSMUSG00000102776	0	8	5	19	57	0	25	18	14	20	23	16
ENSMUSG00000082057	0	0	0	0	0	0	0	11	0	12	0	10
ENSMUSG00000103706	4	12	0	27	119	0	16	58	57	22	63	37
ENSMUSG00000103756	0	0	0	0	0	0	11	3	12	14	0	10
ENSMUSG00000026003	9119	10928	8951	10248	13057	9039	7307	10421	14128	9685	9529	12784
ENSMUSG00000026000	2774	1821	1071	2072	2553	1985	1781	2080	2872	2605	3184	2973
ENSMUSG00000062209	36	301	0	98	22	1	126	89	145	92	70	143
ENSMUSG00000025997	285	385	231	400	81	120	408	413	696	476	426	554
ENSMUSG00000100815	0	13	0	0	0	0	9	0	15	85	0	22
ENSMUSG00000053153	562	407	580	356	134	45	248	45	75	148	114	440
ENSMUSG00000026192	345	183	30	175	542	396	220	279	416	254	231	360
ENSMUSG00000026193	762	2273	991	1189	118	1707	1586	133	260	132	25	343
ENSMUSG00000093956	28	0	84	24	32	0	12	8	12	8	30	31
ENSMUSG00000026189	542	441	773	376	775	509	345	383	489	526	426	585
ENSMUSG00000026188	0	153	0	77	293	0	160	61	57	85	0	60
ENSMUSG00000026187	858	709	790	685	603	254	767	720	977	756	577	961
ENSMUSG00000039354	970	900	753	801	739	188	927	895	1148	1051	976	1202
ENSMUSG00000046330	741	563	489	447	1201	1108	215	563	1063	405	592	550
ENSMUSG00000039323	15334	16903	16466	14720	18935	28196	7708	17469	20859	16172	20335	12798
ENSMUSG00000026185	1353	2126	838	1835	1634	1875	2801	1909	1795	2080	2279	2177
ENSMUSG00000101968	43	6	0	49	74	0	49	16	12	25	31	4
ENSMUSG00000100301	0	59	0	19	98	0	50	45	80	44	10	21
ENSMUSG00000055322	1560	1762	387	1639	332	1574	1728	1255	1210	1104	1314	1292
ENSMUSG00000006304	4011	5437	4620	4025	4497	5588	2830	3309	3989	3636	3907	3740
ENSMUSG00000006299	8416	11097	8359	9886	11042	10491	8153	7951	10662	9301	10225	9262
ENSMUSG00000026179	4423	6464	4725	4989	6643	5351	4047	4643	6730	6073	5246	6354
ENSMUSG00000103013	35	67	42	14	57	84	24	21	37	24	28	24
ENSMUSG00000006301	9586	13586	6337	7590	10063	5936	9521	7755	10681	10491	10031	13545
ENSMUSG00000103403	75	28	0	9	0	0	29	21	17	49	78	0
ENSMUSG00000073650	924	688	332	772	375	296	818	333	732	1234	623	1076
ENSMUSG00000026177	262	367	6	155	3	0	85	14	3	73	72	43
ENSMUSG00000026176	752	296	499	391	326	515	199	556	856	396	609	397
ENSMUSG00000026175	0	75	0	42	37	0	163	1	33	36	0	11
ENSMUSG00000033364	810	1355	2229	771	1222	693	939	747	899	888	691	817
ENSMUSG00000026174	1129	1519	690	1434	1304	1622	1067	796	1359	1237	1023	1316
ENSMUSG00000026173	9860	14250	15694	14149	16681	6618	13829	8797	12786	17219	13303	15206
ENSMUSG00000026135	269	1351	246	611	679	159	914	498	622	394	453	956
ENSMUSG00000026172	990	1315	2431	1180	1753	493	992	1000	1142	1162	962	1171
ENSMUSG00000026171	1271	1168	794	979	906	2172	601	1092	1406	991	1433	1135
ENSMUSG00000033276	718	566	279	298	309	0	649	142	204	448	287	636
ENSMUSG00000033257	333	477	851	583	767	285	520	231	579	603	322	500
ENSMUSG00000026170	219	319	0	177	9	762	258	49	21	45	44	139
ENSMUSG00000047021	63	227	1008	435	338	151	575	40	0	225	107	543
ENSMUSG00000026162	398	91	102	252	227	472	240	126	216	328	225	254
ENSMUSG00000033159	1330	2049	1449	2032	1006	2037	1928	1113	1993	2327	2298	2206
ENSMUSG00000049339	3016	4259	2178	3196	3372	3275	3604	3512	4275	4303	3715	4262
ENSMUSG00000026197	1871	1356	2327	942	1754	2323	1137	1157	1451	1510	1704	1512
ENSMUSG00000026198	53	80	40	64	115	56	40	43	50	37	68	53
ENSMUSG00000033124	1765	4982	3778	3855	3224	1845	3653	3010	3252	4104	3443	4689
